,count,word
32,9734.0,i
6,4759.0,the
4,4607.0,to
66,2938.0,a
37,2803.0,is
26,2601.0,it
36,2467.0,and
72,2059.0,of
28,1972.0,not
73,1862.0,my
46,1760.0,that
146,1649.0,in
31,1599.0,so
77,1453.0,have
106,1337.0,do
21,1278.0,be
50,1172.0,was
373,1091.0,would
109,1060.0,about
229,954.0,will
62,948.0,for
64,921.0,this
59,859.0,am
90,830.0,on
354,822.0,like
80,810.0,me
212,808.0,if
134,738.0,with
104,716.0,get
140,709.0,know
48,697.0,at
96,684.0,may
695,656.0,she
20,621.0,could
116,620.0,some
227,612.0,just
226,592.0,what
18,588.0,as
435,582.0,more
98,578.0,time
541,551.0,should
85,538.0,guess
453,522.0,you
93,521.0,or
296,518.0,there
200,510.0,writing
267,504.0,are
161,470.0,think
241,456.0,he
245,431.0,one
19,423.0,well
299,414.0,how
394,412.0,write
75,410.0,now
399,405.0,her
132,401.0,up
13,398.0,word
125,398.0,though
432,396.0,maybe
67,380.0,good
223,370.0,when
118,362.0,need
112,356.0,an
30,353.0,out
445,347.0,then
76,340.0,they
193,340.0,really
355,334.0,had
306,333.0,too
27,333.0,did
152,324.0,book
197,321.0,from
567,320.0,make
84,320.0,by
393,315.0,all
303,313.0,might
195,306.0,has
389,303.0,go
55,296.0,s
14,295.0,count
110,293.0,but
300,286.0,much
97,283.0,been
232,281.0,see
8,280.0,journal
11,278.0,th
266,267.0,things
500,245.0,money
16,243.0,day
763,232.0,pretty
23,232.0,which
458,230.0,because
228,228.0,read
25,223.0,probably
346,221.0,take
603,217.0,way
172,216.0,today
329,216.0,them
713,211.0,want
103,201.0,we
213,198.0,can
147,197.0,only
105,194.0,back
529,190.0,better
221,189.0,into
728,188.0,sort
202,188.0,were
514,184.0,work
472,182.0,move
946,178.0,got
643,174.0,books
294,170.0,per
242,169.0,does
434,167.0,actually
120,166.0,sure
1086,165.0,these
124,163.0,even
252,163.0,also
521,162.0,next
497,162.0,month
374,160.0,say
591,159.0,over
129,158.0,other
150,156.0,before
246,155.0,his
166,154.0,still
861,154.0,until
479,152.0,something
439,152.0,where
40,151.0,first
293,150.0,right
144,149.0,reading
784,148.0,wonder
130,148.0,than
584,146.0,story
592,144.0,him
403,144.0,went
149,144.0,pages
891,141.0,told
1559,141.0,dr
43,140.0,after
234,135.0,who
769,133.0,year
714,132.0,many
153,131.0,down
791,129.0,very
225,129.0,remember
939,127.0,words
165,127.0,yet
427,126.0,thinking
440,126.0,find
818,124.0,use
184,123.0,new
1408,123.0,thing
537,123.0,keep
730,122.0,getting
45,121.0,off
239,119.0,people
561,119.0,used
69,118.0,no
327,118.0,most
489,118.0,going
283,118.0,cannot
771,116.0,look
560,116.0,long
113,116.0,able
1162,115.0,veleria
459,115.0,said
207,112.0,days
138,110.0,seems
534,110.0,smoke
154,110.0,same
86,109.0,mean
141,109.0,little
1126,106.0,wanted
484,106.0,number
171,104.0,although
257,104.0,different
491,102.0,else
205,100.0,why
34,99.0,last
1083,99.0,let
263,98.0,enough
910,98.0,kind
1414,97.0,called
336,96.0,through
170,96.0,weed
566,95.0,another
464,95.0,must
783,95.0,again
71,93.0,any
231,93.0,here
53,93.0,tomorrow
115,93.0,since
911,93.0,each
230,92.0,best
51,92.0,trying
49,91.0,least
236,91.0,around
314,90.0,thought
270,90.0,far
626,89.0,doing
924,88.0,try
320,87.0,two
261,86.0,life
556,86.0,journals
1356,86.0,being
430,85.0,feel
766,84.0,made
1019,82.0,those
35,82.0,night
1423,82.0,mom
1506,82.0,dad
151,81.0,put
1138,80.0,black
660,80.0,water
363,79.0,hard
364,79.0,times
604,78.0,set
1145,78.0,name
1010,78.0,bad
372,77.0,doctor
1128,77.0,give
450,77.0,come
81,77.0,while
813,75.0,years
701,75.0,monday
2886,75.0,june
610,74.0,such
582,74.0,done
92,74.0,goal
328,73.0,call
423,73.0,room
831,71.0,type
895,70.0,wait
621,69.0,spend
199,68.0,idea
586,68.0,almost
1377,68.0,change
272,67.0,place
2069,67.0,girl
137,67.0,coffee
590,67.0,someone
4079,67.0,berry
438,67.0,looking
649,66.0,january
845,66.0,left
565,66.0,buy
350,66.0,certain
1024,66.0,their
949,66.0,quite
1189,66.0,hope
1030,65.0,lot
1412,65.0,tell
482,65.0,april
114,64.0,account
310,64.0,saturday
279,64.0,house
1501,64.0,morning
1956,64.0,regulus
203,64.0,computer
407,63.0,end
1719,63.0,mind
258,62.0,order
998,62.0,apartment
382,62.0,found
1160,62.0,early
1477,62.0,once
2692,62.0,girlfriend
1520,62.0,every
726,61.0,detroit
2037,61.0,finish
473,61.0,soon
1392,60.0,sometimes
273,60.0,stay
837,60.0,save
313,60.0,never
625,60.0,came
785,60.0,point
33,60.0,sleep
876,60.0,away
919,60.0,moving
480,60.0,few
413,59.0,friday
488,59.0,already
405,59.0,near
426,58.0,important
163,58.0,smoking
1159,58.0,hours
29,57.0,start
558,57.0,written
42,57.0,minutes
2365,57.0,stars
312,56.0,aldebaran
832,56.0,thursday
498,56.0,food
572,55.0,help
1691,55.0,ask
1955,55.0,dear
2405,55.0,star
370,55.0,tuesday
587,55.0,part
9,54.0,wednesday
265,54.0,cliff
61,54.0,myself
409,53.0,thoughts
932,52.0,your
1351,52.0,less
993,52.0,guitar
191,52.0,sunday
655,51.0,guardian
483,51.0,pontiac
139,51.0,working
642,51.0,library
790,51.0,having
1840,50.0,taking
1603,50.0,chicken
1090,50.0,school
2632,50.0,consider
985,50.0,own
855,49.0,making
501,49.0,cigarettes
920,49.0,always
1195,49.0,week
345,48.0,dream
869,48.0,pay
4305,48.0,nikki
155,47.0,believe
1267,47.0,light
461,47.0,stories
414,47.0,st
486,47.0,high
278,47.0,rent
618,47.0,difficult
1192,47.0,took
495,47.0,check
1661,46.0,numbers
1172,46.0,bank
732,46.0,sense
1115,46.0,later
24,45.0,means
10,45.0,december
550,45.0,store
1041,45.0,talk
216,45.0,interesting
419,44.0,tonight
1818,44.0,dinner
107,44.0,plan
1220,44.0,drawing
629,44.0,mostly
201,44.0,date
819,43.0,nice
1532,43.0,car
865,43.0,case
1782,43.0,green
663,43.0,phone
738,43.0,wrote
6023,43.0,chocolope
516,42.0,anything
47,42.0,real
1343,42.0,list
1418,42.0,between
1775,42.0,asked
1182,42.0,big
965,41.0,paper
1157,41.0,instead
2747,41.0,spica
684,41.0,gave
828,41.0,playing
830,41.0,makes
739,40.0,sounds
1368,40.0,says
780,40.0,listening
186,40.0,add
835,40.0,learn
481,40.0,months
1274,40.0,spent
233,40.0,comes
402,40.0,everything
1152,40.0,eat
827,40.0,without
1424,39.0,love
1419,39.0,information
2440,39.0,appointment
2040,39.0,memories
218,39.0,begin
475,39.0,hospital
1448,39.0,create
2799,39.0,drink
3966,39.0,july
1536,39.0,reason
581,39.0,hour
1498,38.0,looks
2294,38.0,saw
526,38.0,past
15,38.0,fomalhaut
1233,38.0,e
1118,38.0,takes
325,38.0,medicine
1197,38.0,cool
881,38.0,unless
142,38.0,bit
2630,37.0,miles
250,37.0,common
653,37.0,amount
1069,37.0,court
680,37.0,music
2489,37.0,hunter
471,37.0,fiction
361,37.0,continue
576,37.0,short
5313,36.0,ida
1873,36.0,diary
887,36.0,stop
1271,36.0,receipts
546,36.0,anyways
108,36.0,talking
645,36.0,play
904,36.0,marijuana
1340,36.0,except
494,36.0,state
391,35.0,family
2710,35.0,copy
429,35.0,feeling
1040,35.0,late
1609,35.0,bought
1322,35.0,often
1378,35.0,weather
3840,35.0,nairobi
1303,35.0,red
2735,35.0,usually
1084,34.0,us
557,34.0,hand
1718,34.0,letter
931,34.0,key
1756,34.0,wish
490,34.0,towards
395,34.0,seemed
999,34.0,living
1435,34.0,man
476,34.0,weeks
465,34.0,question
1121,34.0,quick
4218,34.0,page
599,34.0,entry
467,33.0,writer
1216,33.0,extra
1062,33.0,cns
2966,33.0,k
849,33.0,bring
1133,33.0,seem
848,33.0,march
2315,33.0,cat
162,33.0,cut
183,33.0,become
703,32.0,old
1547,32.0,ate
3088,32.0,august
977,32.0,ideas
527,32.0,birthday
2711,32.0,online
580,32.0,under
597,32.0,rd
716,32.0,couple
1210,32.0,forget
2762,32.0,bike
5943,32.0,soup
545,32.0,open
547,32.0,hopefully
249,31.0,appears
264,31.0,met
1349,31.0,memoir
896,31.0,longer
2255,31.0,girls
2458,31.0,pick
824,31.0,close
915,31.0,chocolate
589,31.0,meet
420,31.0,drinking
710,31.0,liked
1589,31.0,cost
187,31.0,current
1058,31.0,groceries
4721,31.0,hydroxyzine
888,30.0,d
3038,30.0,ground
1936,30.0,sent
159,30.0,material
901,30.0,main
630,30.0,shopping
900,30.0,notes
1359,30.0,sentence
715,30.0,changes
1843,30.0,color
1467,30.0,true
2045,29.0,worked
1776,29.0,mail
1876,29.0,talked
620,29.0,walk
1480,29.0,either
789,29.0,afternoon
1006,29.0,along
987,29.0,needed
953,29.0,watch
2590,29.0,antares
131,29.0,coming
1542,29.0,woke
650,29.0,paid
442,29.0,goals
3179,29.0,worth
145,29.0,program
1511,29.0,female
947,29.0,using
841,28.0,beginning
1203,28.0,period
912,28.0,relationship
1917,28.0,problem
455,28.0,leave
1500,28.0,picture
1320,28.0,person
799,28.0,blood
657,28.0,half
1017,27.0,both
68,27.0,exercise
2318,27.0,blue
1165,27.0,gets
2100,27.0,complete
2327,27.0,whole
1173,27.0,supposed
1154,27.0,home
552,27.0,card
1923,26.0,hair
639,26.0,downtown
1218,26.0,medicines
1832,26.0,slept
817,26.0,ever
176,26.0,eating
1977,26.0,tried
1190,26.0,easier
531,26.0,february
4789,26.0,prime
2186,26.0,played
627,26.0,outside
3286,26.0,sentences
2295,26.0,z
17,26.0,began
596,25.0,finding
2647,25.0,records
1770,25.0,task
2224,25.0,wayne
1773,25.0,ago
2213,25.0,white
613,25.0,perhaps
2062,25.0,quit
1064,25.0,aid
1884,25.0,kept
1276,25.0,social
1255,25.0,started
1355,25.0,increase
5268,25.0,tomatoes
1287,25.0,chance
7,25.0,digital
822,25.0,meloni
5082,24.0,x
823,24.0,seen
1717,24.0,character
834,24.0,surprised
5566,24.0,faith
1925,24.0,kelly
392,24.0,matter
1491,24.0,mentioned
235,24.0,goes
1191,24.0,note
2020,24.0,expect
366,24.0,avoid
1372,24.0,second
2088,24.0,trees
559,24.0,ones
2324,24.0,peas
128,24.0,subject
2132,24.0,friend
786,24.0,live
1005,24.0,waiting
994,24.0,center
967,23.0,young
1758,23.0,eye
1072,23.0,office
1046,23.0,ride
1785,23.0,looked
463,23.0,reader
894,23.0,happen
2111,23.0,cream
290,23.0,rate
178,23.0,hot
1395,23.0,happened
1036,23.0,york
996,23.0,earlier
1662,23.0,parents
1579,23.0,fact
5876,23.0,cook
2319,23.0,midnight
880,23.0,walking
74,23.0,friends
168,23.0,definitely
1518,22.0,works
259,22.0,together
2168,22.0,song
1352,22.0,clear
1734,22.0,accounts
1800,22.0,king
2976,22.0,writes
493,22.0,its
492,22.0,income
1415,22.0,hear
344,22.0,game
2414,22.0,microsoft
585,22.0,useful
1494,22.0,arcturus
878,22.0,security
2416,22.0,pen
2048,22.0,our
1992,22.0,mention
852,22.0,likely
179,22.0,cold
4675,22.0,meghan
2753,22.0,considered
1063,22.0,rite
5035,22.0,ayanna
3319,22.0,noir
2050,22.0,record
2291,22.0,colors
288,22.0,street
4023,22.0,television
6944,22.0,meja
5469,22.0,super
1834,22.0,rob
1031,22.0,o
787,22.0,yesterday
2656,21.0,response
1729,21.0,ways
5281,21.0,salad
2098,21.0,experience
5226,21.0,cookie
214,21.0,describe
1469,21.0,shot
1100,21.0,track
2303,21.0,glad
1991,21.0,author
1073,21.0,large
944,21.0,sound
968,21.0,woman
762,21.0,grow
302,21.0,available
1278,21.0,fast
3273,21.0,sky
5263,21.0,mushrooms
2431,21.0,twitter
1682,21.0,turns
135,21.0,sugar
568,21.0,deal
2305,21.0,funny
851,21.0,whether
1248,21.0,include
2096,20.0,exactly
433,20.0,knew
1813,20.0,telling
913,20.0,smoked
1632,20.0,details
5209,20.0,jaiyeoba
1053,20.0,grocery
5100,20.0,walmart
4486,20.0,pens
292,20.0,price
672,20.0,bed
1651,20.0,draw
593,20.0,print
2292,20.0,three
1187,20.0,microwave
1897,20.0,nd
1850,20.0,finished
764,20.0,leaves
1550,20.0,shower
509,20.0,however
718,20.0,travel
1456,20.0,easy
1654,20.0,business
1521,20.0,entries
1509,20.0,show
2223,20.0,university
1749,20.0,focus
5461,20.0,summary
1289,20.0,writers
652,20.0,spending
656,20.0,future
1772,20.0,pollux
1788,20.0,novel
334,20.0,dreams
6737,19.0,chad
963,19.0,yellow
720,19.0,re
4243,19.0,coacoa
3374,19.0,africa
4563,19.0,eyed
543,19.0,run
188,19.0,menu
348,19.0,during
524,19.0,zoey
3524,19.0,odd
2606,19.0,james
520,19.0,review
5958,19.0,stimulus
2029,19.0,rather
1552,19.0,decide
1932,19.0,bus
1286,19.0,brother
1068,19.0,course
839,19.0,bill
1522,19.0,limit
1401,19.0,interested
1780,19.0,eyes
1790,19.0,rice
3096,19.0,september
674,19.0,space
1437,19.0,follow
424,19.0,nothing
532,18.0,possible
362,18.0,wear
2406,18.0,chart
7262,18.0,eclipse
2511,18.0,city
515,18.0,plus
359,18.0,improve
2842,18.0,power
1957,18.0,turn
1598,18.0,science
339,18.0,consort
1902,18.0,keeping
1809,18.0,data
706,18.0,tree
2969,18.0,published
2732,18.0,jeannie
1060,18.0,appointments
2208,18.0,names
1757,18.0,stayed
3024,18.0,kill
1712,18.0,conversation
624,18.0,stress
284,18.0,imagine
2285,18.0,study
602,18.0,doctors
877,18.0,worry
563,18.0,blank
3962,18.0,ingredients
164,18.0,general
765,17.0,nearly
905,17.0,according
65,17.0,happens
1999,17.0,location
1948,17.0,known
2005,17.0,characters
1807,17.0,lasagna
2981,17.0,practice
2278,17.0,body
1681,17.0,answer
2631,17.0,davis
1124,17.0,pace
2311,17.0,apple
2204,17.0,finally
1638,17.0,device
569,17.0,considering
1628,17.0,daily
4440,17.0,november
1618,17.0,afford
2561,17.0,rest
3491,17.0,process
5235,17.0,eggs
975,17.0,narrator
729,17.0,especially
2112,17.0,cheese
507,17.0,clothes
2430,17.0,heard
1008,17.0,crime
2128,17.0,till
1400,16.0,text
2636,16.0,autobiography
1430,16.0,afterwards
2885,16.0,excited
1663,16.0,happy
305,16.0,paying
1459,16.0,hit
1479,16.0,knows
511,16.0,jah
1483,16.0,enjoy
512,16.0,saying
3534,16.0,cvs
1354,16.0,accomplish
2850,16.0,class
365,16.0,awake
4143,16.0,tired
1177,16.0,papers
5489,16.0,honey
1323,16.0,appear
945,16.0,hundred
802,16.0,aunt
1763,16.0,brain
983,16.0,loud
2741,16.0,lunch
774,16.0,charlene
697,16.0,memory
693,16.0,printer
2813,16.0,plenty
1893,16.0,stopped
1074,16.0,building
1079,16.0,items
1009,16.0,punishment
669,16.0,safe
2197,16.0,walked
2077,16.0,front
94,16.0,purpose
4071,16.0,letters
2939,16.0,c
3216,16.0,porch
797,16.0,cause
976,16.0,head
2956,16.0,costs
1478,15.0,everyone
2767,15.0,gives
2812,15.0,ipod
1388,15.0,places
850,15.0,situation
1174,15.0,necessary
1013,15.0,similar
3663,15.0,parsley
1164,15.0,closer
1905,15.0,fall
2350,15.0,mother
1792,15.0,authors
1585,15.0,yes
2834,15.0,hotel
1207,15.0,related
4629,15.0,african
2211,15.0,jimmy
898,15.0,writings
2236,15.0,extravagant
1569,15.0,dating
1002,15.0,apparently
240,15.0,interest
262,15.0,itself
562,15.0,sit
690,15.0,across
436,15.0,typing
194,15.0,strange
637,15.0,shop
3280,15.0,orange
204,15.0,wondering
95,15.0,whatever
6976,15.0,maina
206,15.0,running
736,15.0,suppose
505,15.0,personal
5640,15.0,onion
2527,14.0,ups
1042,14.0,starting
2464,14.0,major
2153,14.0,basement
1822,14.0,small
3114,14.0,club
1261,14.0,teeth
349,14.0,speed
1256,14.0,art
1103,14.0,affect
779,14.0,deneb
