,count,word
7,8465.0,i
9,3942.0,to
23,3454.0,the
49,2672.0,is
89,2337.0,it
20,2200.0,a
61,1722.0,not
81,1512.0,and
29,1509.0,of
17,1431.0,my
65,1344.0,have
86,1326.0,so
98,1285.0,that
85,1264.0,be
182,1258.0,will
70,1226.0,do
39,1184.0,in
166,956.0,this
371,906.0,about
243,869.0,for
84,859.0,would
308,825.0,am
391,805.0,she
40,762.0,was
26,751.0,like
113,750.0,on
169,690.0,me
330,688.0,get
135,669.0,if
163,650.0,know
140,624.0,may
19,606.0,at
158,517.0,more
218,512.0,with
91,505.0,just
179,499.0,time
38,488.0,think
278,485.0,her
56,485.0,what
118,465.0,well
74,444.0,there
127,432.0,some
93,416.0,you
63,416.0,guess
30,416.0,kaffee
172,414.0,are
53,413.0,could
162,402.0,though
78,382.0,should
544,375.0,write
346,373.0,good
329,354.0,writing
231,351.0,but
32,343.0,as
36,341.0,go
108,336.0,or
1005,331.0,need
149,329.0,too
344,310.0,now
153,307.0,one
413,307.0,really
94,297.0,how
186,292.0,when
190,291.0,has
62,290.0,much
16,284.0,up
116,281.0,by
126,277.0,they
195,270.0,maybe
208,268.0,out
328,265.0,book
321,264.0,might
514,261.0,things
733,260.0,pages
150,257.0,mean
79,248.0,make
616,246.0,been
210,244.0,see
73,244.0,all
350,244.0,he
289,229.0,money
536,219.0,an
261,218.0,then
286,217.0,day
617,214.0,pretty
223,212.0,journal
58,206.0,did
389,202.0,from
198,200.0,books
59,199.0,want
287,197.0,we
69,192.0,them
804,185.0,next
11,184.0,s
200,184.0,probably
1334,178.0,words
537,178.0,very
188,173.0,still
446,173.0,per
930,173.0,read
90,172.0,work
687,171.0,these
14,169.0,after
235,167.0,had
101,164.0,year
164,161.0,only
251,159.0,back
438,159.0,better
353,158.0,does
12,154.0,today
2,151.0,th
782,150.0,until
447,149.0,month
1663,148.0,dr
645,145.0,days
598,144.0,other
130,143.0,which
282,142.0,actually
323,142.0,sure
161,138.0,way
60,138.0,say
71,138.0,even
735,137.0,page
543,136.0,something
87,136.0,many
147,136.0,were
557,136.0,take
142,136.0,because
461,135.0,new
319,132.0,reading
980,128.0,able
277,124.0,into
176,120.0,keep
1047,117.0,journals
95,117.0,little
603,116.0,move
4,115.0,word
245,113.0,before
384,113.0,nice
269,112.0,last
237,112.0,sort
752,110.0,also
125,109.0,yet
556,108.0,seems
414,108.0,wonder
54,108.0,find
82,107.0,down
439,106.0,than
300,105.0,going
569,105.0,night
141,105.0,right
191,103.0,got
132,100.0,over
513,100.0,first
105,98.0,life
232,98.0,where
121,97.0,getting
31,94.0,least
613,94.0,two
189,93.0,feel
57,92.0,else
315,90.0,people
225,89.0,remember
416,88.0,since
453,88.0,every
291,88.0,long
271,87.0,again
199,87.0,tomorrow
393,86.0,done
685,86.0,years
441,86.0,no
961,84.0,hard
259,84.0,doing
8,84.0,went
2322,83.0,star
377,83.0,cannot
174,82.0,weed
950,81.0,nikki
285,80.0,same
550,80.0,mom
203,80.0,look
168,80.0,let
1282,79.0,hope
192,79.0,best
27,79.0,another
562,78.0,someone
732,78.0,goal
204,77.0,through
903,77.0,finish
138,76.0,who
131,75.0,can
5,75.0,count
13,74.0,around
708,74.0,use
563,74.0,wait
1146,73.0,told
1149,73.0,difficult
349,72.0,here
408,72.0,him
495,71.0,his
268,71.0,pay
1361,71.0,spend
293,71.0,room
450,70.0,soon
226,70.0,used
777,70.0,tell
2008,69.0,off
873,69.0,each
406,68.0,said
296,68.0,enough
810,67.0,put
545,67.0,thing
151,67.0,must
345,67.0,trying
401,67.0,those
50,67.0,most
477,66.0,smoke
222,66.0,love
342,66.0,dad
72,66.0,name
522,65.0,order
279,65.0,number
577,64.0,different
1112,64.0,tonight
727,64.0,stars
640,64.0,buy
185,63.0,kind
33,63.0,far
614,63.0,lot
488,62.0,cost
405,61.0,called
122,61.0,any
1458,61.0,give
209,61.0,few
1165,61.0,coffee
1560,61.0,text
397,60.0,come
634,59.0,week
518,59.0,sometimes
