,word,count
29,i,9962
12,the,4855
4,to,4716
63,a,2993
34,is,2854
23,it,2646
33,and,2499
69,of,2101
25,not,1999
70,my,1897
43,that,1778
143,in,1679
28,so,1615
74,have,1485
103,do,1368
18,be,1305
47,was,1193
367,would,1111
106,about,1085
225,will,979
59,for,965
61,this,948
56,am,876
87,on,839
349,like,835
208,if,825
77,me,822
131,with,759
101,get,742
137,know,725
45,at,717
93,may,710
688,she,670
113,some,637
17,could,631
223,just,621
222,what,604
15,as,600
95,time,594
428,more,592
533,should,563
82,guess,545
446,you,537
292,there,529
90,or,527
263,are,518
196,writing,515
158,think,481
237,he,460
241,one,437
16,well,432
295,how,423
388,write,422
72,now,417
393,her,413
129,up,410
122,though,409
425,maybe,400
9,word,399
64,good,387
219,when,378
115,need,372
109,an,365
27,out,361
438,then,355
189,really,346
73,they,345
302,too,345
350,had,339
24,did,335
149,book,329
560,make,328
81,by,325
193,from,325
387,all,324
299,might,321
383,go,311
191,has,309
107,but,300
52,s,298
10,count,296
296,much,294
228,see,290
94,been,288
8,th,285
886,journal,282
262,things,275
493,money,258
13,day,247
755,pretty,235
20,which,235
451,because,234
224,read,231
22,probably,225
324,them,223
341,take,222
169,today,221
596,way,221
705,want,218
144,only,203
100,we,203
102,back,200
209,can,199
522,better,194
217,into,191
198,were,189
720,sort,189
507,work,185
935,got,184
465,move,183
636,books,178
290,per,177
238,does,171
514,next,170
490,month,170
427,actually,170
117,sure,169
248,also,169
1073,these,168
126,other,165
121,even,165
584,over,164
368,say,162
163,still,160
851,until,157
147,before,156
242,his,155
432,where,154
37,first,153
472,something,153
141,reading,152
289,right,150
397,went,150
127,than,150
775,wonder,149
146,pages,146
577,story,146
585,him,144
1542,dr,144
880,told,142
40,after,142
230,who,137
761,year,136
706,many,134
782,very,133
150,down,133
928,words,131
162,yet,130
433,find,130
221,remember,129
529,keep,128
420,thinking,127
809,use,127
181,new,126
1393,thing,125
722,getting,124
482,going,124
110,able,122
42,off,121
279,cannot,121
553,long,120
66,no,120
554,used,119
235,people,119
322,most,118
763,look,118
452,said,117
1149,veleria,115
83,mean,114
203,days,113
526,smoke,112
138,little,112
151,same,111
135,seems,110
1113,wanted,108
484,else,106
477,number,106
168,although,105
253,different,105
201,why,103
31,last,103
899,kind,103
1070,let,101
259,enough,100
1399,called,99
548,journals,99
331,through,98
559,another,97
900,each,97
167,weed,97
227,here,96
457,must,95
112,since,95
50,tomorrow,95
774,again,95
48,trying,94
226,best,94
68,any,94
232,around,93
46,least,92
266,far,91
913,try,91
309,thought,90
619,doing,89
758,made,88
315,two,88
148,put,88
1341,being,88
257,life,87
423,feel,86
1490,dad,85
32,night,85
1408,mom,84
358,hard,83
1007,those,82
1125,black,82
359,times,81
653,water,81
443,come,80
597,set,78
1132,name,78
998,bad,78
366,doctor,78
1115,give,77
78,while,77
89,goal,77
804,years,76
694,monday,76
2852,june,75
603,such,75
416,room,75
575,done,75
558,buy,74
323,call,74
884,wait,73
822,type,71
614,spend,71
268,place,70
4026,berry,70
254,order,70
195,idea,70
1362,change,70
134,coffee,69
431,looking,68
306,saturday,68
579,almost,68
835,left,67
642,january,67
1012,their,67
1018,lot,67
2046,girl,67
1485,morning,67
1175,hope,67
583,someone,67
345,certain,66
938,quite,66
475,april,66
718,detroit,66
986,apartment,66
199,computer,65
111,account,65
1462,once,65
1397,tell,65
275,house,64
1699,mind,64
2014,finish,64
827,save,64
401,end,63
1147,early,63
2660,girlfriend,62
376,found,62
618,came,62
473,few,62
466,soon,61
269,stay,61
308,never,61
1377,sometimes,60
30,sleep,60
1504,every,60
908,moving,60
1933,regulus,60
776,point,60
866,away,60
160,smoking,59
399,near,59
407,friday,59
481,already,59
1146,hours,58
39,minutes,58
419,important,58
823,thursday,58
2336,stars,58
26,start,58
2376,star,57
921,your,57
550,written,57
261,cliff,56
491,food,56
365,tuesday,56
188,sunday,56
6,wednesday,56
580,part,55
1932,dear,55
565,help,55
1672,ask,55
58,myself,54
136,working,53
307,aldebaran,53
403,thoughts,53
635,library,53
476,pontiac,52
781,having,52
981,guitar,52
4252,nikki,52
1336,less,52
974,own,51
1819,taking,51
494,cigarettes,51
1181,week,51
648,guardian,51
1584,chicken,50
845,making,50
1077,school,50
1178,took,50
2600,consider,50
859,pay,50
1253,light,49
1102,later,49
909,always,49
340,dream,48
274,rent,48
810,nice,48
488,check,48
104,plan,48
454,stories,48
408,st,48
611,difficult,48
479,high,47
152,believe,47
21,means,46
1029,talk,46
1158,bank,46
622,mostly,46
724,sense,46
1641,numbers,46
1797,dinner,46
197,date,45
7,december,45
212,interesting,45
1761,green,45
44,real,45
542,store,45
2268,saw,44
855,case,44
1206,drawing,44
1403,between,44
412,tonight,44
1219,e,44
1328,list,44
656,phone,43
509,anything,43
5253,chocolope,43
731,sounds,43
1168,big,43
730,wrote,43
1515,car,43
1139,eat,43
1754,asked,42
1144,instead,42
474,months,42
677,gave,41
229,comes,41
954,paper,41
574,hour,41
1353,says,41
821,makes,41
396,everything,41
819,playing,41
2767,drink,41
1257,receipts,40
183,add,40
771,listening,40
214,begin,40
1260,spent,40
818,without,40
646,amount,40
825,learn,40
1183,cool,39
3913,july,39
468,hospital,39
1105,takes,39
519,past,39
2410,appointment,39
1433,create,39
871,unless,39
1409,love,39
1404,information,39
320,medicine,39
1519,reason,39
2017,memories,39
464,fiction,38
105,talking,38
139,bit,38
1482,looks,38
1736,wish,38
2715,spica,38
1325,except,37
246,common,37
2598,miles,37
356,continue,37
673,music,37
385,family,37
569,short,37
638,play,37
1057,court,37
11,fomalhaut,37
2459,hunter,37
1028,late,37
1288,red,36
487,state,36
1363,weather,36
7126,ida,36
538,anyways,36
2678,copy,36
893,marijuana,36
1852,diary,36
876,stop,36
2703,usually,35
920,key,35
469,weeks,35
1108,quick,35
549,hand,35
458,question,35
1307,often,35
4165,page,35
1590,bought,35
422,feeling,35
3789,nairobi,35
987,living,34
460,writer,34
702,liked,34
159,cut,34
1202,extra,34
590,rd,34
592,entry,34
180,become,34
573,under,34
483,towards,34
389,seemed,34
1071,us,34
1420,man,34
838,march,34
1698,letter,34
537,open,33
2932,k,33
413,drinking,33
1046,groceries,33
2288,cat,33
708,couple,33
1120,seem,33
1530,ate,33
839,bring,33
1050,cns,33
3052,august,33
1196,forget,33
582,meet,33
5157,soup,33
2679,online,32
539,hopefully,32
815,close,32
695,old,32
520,birthday,32
1571,cost,32
966,ideas,32
2730,bike,32
1334,memoir,31
1465,either,31
4813,hydroxyzine,31
184,current,31
260,met,31
904,chocolate,31
156,material,31
885,longer,31
2428,pick,31
245,appears,31
128,coming,31
2231,girls,31
707,changes,31
623,shopping,30
891,main,30
890,notes,30
1344,sentence,30
524,february,30
1822,color,30
1913,sent,30
877,d,30
3003,ground,30
1855,talked,30
173,eating,30
613,walk,30
942,watch,30
1525,woke,30
3141,worth,30
1452,TRUE,30
790,blood,29
780,afternoon,29
142,program,29
901,relationship,29
936,using,29
976,needed,29
2022,worked,29
3630,antares,29
435,goals,29
620,outside,29
643,paid,29
1495,female,29
994,along,29
1755,mail,29
448,leave,28
632,downtown,28
1900,hair,28
1204,medicines,28
286,rate,28
650,half,28
1151,gets,28
831,beginning,28
1895,problem,28
1484,picture,28
1305,person,28
1189,period,28
1005,both,27
231,goes,27
2291,blue,27
2076,complete,27
2269,z,27
1159,supposed,27
1141,home,27
544,card,27
65,exercise,27
2300,whole,27
808,ever,26
777,live,26
824,surprised,26
4583,prime,26
14,began,26
1176,easier,26
2161,played,26
3243,sentences,26
1811,slept,26
1750,task,26
5035,tomatoes,26
1954,tried,26
1241,started,25
1863,kept,25
883,happen,25
589,finding,25
386,matter,25
2199,wayne,25
1262,social,25
2297,peas,25
1340,increase,25
1052,aid,25
984,earlier,25
606,perhaps,25
2615,records,25
813,meloni,25
2039,quit,25
1272,chance,25
982,center,25
2188,white,25
551,digital,25
1764,looked,25
1752,ago,25
1357,second,24
1177,note,24
1997,expect,24
595,doctors,24
1902,kelly,24
4696,faith,24
2064,trees,24
1024,york,24
993,waiting,24
4658,x,24
778,yesterday,24
552,ones,24
125,subject,24
814,seen,24
361,avoid,24
1476,mentioned,24
298,available,24
2108,friend,24
1697,character,24
956,young,24
2087,cream,23
165,definitely,23
754,grow,23
2025,our,23
1561,fact,23
486,its,23
5079,cook,23
1034,ride,23
2292,midnight,23
1380,happened,23
456,reader,23
1738,eye,23
175,hot,23
5349,meghan,23
176,cold,23
1642,parents,23
870,walking,23
1060,office,23
71,friends,23
2266,colors,22
2027,record,22
1813,rob,22
1779,king,22
210,describe,22
2072,exactly,22
3274,noir,22
255,together,22
1051,rite,22
5617,ayanna,22
578,useful,22
4988,super,22
957,woman,22
6316,meja,22
2144,song,22
339,game,22
1969,mention,22
485,income,22
1337,clear,22
2721,considered,22
2942,writes,22
1019,o,22
2385,microsoft,22
2386,pen,22
3970,television,22
1400,hear,22
1502,works,22
842,likely,22
284,street,22
1061,large,22
868,security,22
1714,accounts,22
2277,glad,21
1041,grocery,21
1234,include,21
1264,fast,21
2267,three,21
710,travel,21
4653,cookie,21
3230,sky,21
132,sugar,21
2401,twitter,21
4779,mushrooms,21
1876,nd,21
5176,stimulus,21
1493,show,21
756,leaves,21
2279,funny,21
1533,shower,21
1087,track,21
1663,turns,21
667,space,21
2624,response,21
1422,follow,21
2074,experience,21
841,whether,21
561,deal,21
5251,salad,21
1968,author,21
1709,ways,21
1454,shot,21
933,sound,21
2006,rather,21
649,future,21
665,bed,20
1173,microwave,20
586,print,20
1829,finished,20
288,price,20
1634,business,20
426,knew,20
5097,jaiyeoba,20
2198,university,20
1631,draw,20
1505,entries,20
4773,summary,20
1048,appointments,20
3341,arcturus,20
645,spending,20
5188,walmart,20
1612,details,20
1767,novel,20
329,dreams,20
502,however,20
902,smoked,20
4430,pens,20
517,zoey,20
1274,writers,20
