,word,count
6,i,9609
8,to,4395
22,the,3987
48,is,3023
88,it,2748
19,a,2522
60,not,1945
80,and,1728
28,of,1686
16,my,1649
85,so,1505
64,have,1496
97,that,1466
181,will,1409
69,do,1387
84,be,1374
38,in,1365
370,about,1029
242,for,1020
165,this,1019
92,you,945
39,was,931
83,would,924
307,am,914
390,she,899
112,on,855
25,like,853
168,me,849
134,if,746
162,know,742
329,get,733
18,at,718
139,may,683
217,with,620
90,just,585
171,are,581
37,think,575
55,what,567
157,more,557
178,time,546
277,her,545
117,well,516
73,there,492
345,good,482
126,some,467
161,though,467
62,guess,462
29,kaffee,455
52,could,436
230,but,426
77,should,415
31,as,395
542,write,393
148,too,388
107,or,387
93,how,383
328,writing,375
185,when,362
35,go,360
343,now,355
125,they,353
15,up,347
999,need,345
412,really,341
327,book,340
152,one,333
61,much,323
189,has,323
115,by,313
320,might,312
207,out,301
194,maybe,296
349,he,293
72,all,284
57,did,282
78,make,282
512,things,281
209,see,279
149,mean,277
614,been,269
731,pages,269
260,then,264
534,an,262
10,s,261
286,we,256
388,from,245
285,day,244
288,money,242
89,work,241
615,pretty,234
222,journal,224
58,want,223
197,books,223
535,very,222
68,them,215
234,had,201
199,probably,200
187,still,195
802,next,195
924,read,194
250,back,192
141,because,190
13,after,187
163,only,186
100,year,185
444,per,182
146,were,182
685,these,181
352,does,179
1327,words,179
437,better,178
11,today,172
2,th,169
780,until,165
160,way,162
555,take,160
596,other,158
129,which,157
281,actually,157
541,something,157
524,your,157
643,days,155
86,many,155
1655,dr,153
70,even,151
322,sure,149
59,say,148
445,month,147
974,able,146
733,page,144
276,into,143
459,new,141
318,reading,139
175,keep,139
440,no,137
383,nice,135
2740,ok,135
268,last,135
299,going,132
244,before,130
750,also,128
567,night,127
3,word,126
94,little,125
601,move,125
81,down,124
53,find,123
124,yet,123
438,than,121
258,doing,120
511,first,116
190,got,115
140,right,115
290,long,114
120,getting,114
236,sort,114
1040,journals,113
231,where,113
104,life,113
224,remember,113
554,seems,113
188,feel,111
683,years,111
7,went,108
548,mom,108
